"","Year","State","State.Minimum.Wage","State.Minimum.Wage.2020.Dollars","Federal.Minimum.Wage","Federal.Minimum.Wage.2020.Dollars","Effective.Minimum.Wage","Effective.Minimum.Wage.2020.Dollars","CPI.Average","Department.Of.Labor.Uncleaned.Data","Department.Of.Labor.Cleaned.Low.Value","Department.Of.Labor.Cleaned.Low.Value.2020.Dollars","Department.Of.Labor.Cleaned.High.Value","Department.Of.Labor.Cleaned.High.Value.2020.Dollars","Murder","Assault","UrbanPop","Rape"
"1",1973,"Alabama",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,13.2,236,58,21.2
"2",1973,"Alaska",2.1,12.23,1.6,9.32,2.1,12.23,44.4,"2.1",2.1,12.23,2.1,12.23,10,263,48,44.5
"3",1973,"Arizona",0.468,2.73,1.6,9.32,1.6,9.32,44.4,"18.72-26.40/wk(b)",0.468,2.73,0.66,3.84,8.1,294,80,31
"4",1973,"Arkansas",1.2,6.99,1.6,9.32,1.6,9.32,44.4,"1.2",1.2,6.99,1.2,6.99,8.8,190,50,19.5
"5",1973,"California",1.65,9.61,1.6,9.32,1.65,9.61,44.4,"1.65(b)",1.65,9.61,1.65,9.61,9,276,91,40.6
"6",1973,"Colorado",1,5.83,1.6,9.32,1.6,9.32,44.4,"1.00 - 1.25(b)",1,5.83,1.25,7.28,7.9,204,78,38.7
"7",1973,"Connecticut",1.85,10.78,1.6,9.32,1.85,10.78,44.4,"1.85",1.85,10.78,1.85,10.78,3.3,110,77,11.1
"8",1973,"Delaware",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,5.9,238,72,15.8
"9",1973,"Florida",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,15.4,335,80,31.9
"10",1973,"Georgia",1.25,7.28,1.6,9.32,1.6,9.32,44.4,"1.25",1.25,7.28,1.25,7.28,17.4,211,60,25.8
"11",1973,"Hawaii",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,5.3,46,83,20.2
"12",1973,"Idaho",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,2.6,120,54,14.2
"13",1973,"Illinois",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,10.4,249,83,24
"14",1973,"Indiana",1.25,7.28,1.6,9.32,1.6,9.32,44.4,"1.25",1.25,7.28,1.25,7.28,7.2,113,65,21
"15",1973,"Iowa",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,2.2,56,57,11.3
"16",1973,"Kansas",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,6,115,66,18
"17",1973,"Kentucky",0.65,3.79,1.6,9.32,1.6,9.32,44.4,".65 - .75(b)",0.65,3.79,0.75,4.37,9.7,109,52,16.3
"18",1973,"Louisiana",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,15.4,249,66,22.2
"19",1973,"Maine",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.40 - 1.80",1.4,8.16,1.8,10.49,2.1,83,51,7.8
"20",1973,"Maryland",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,11.3,300,67,27.8
"21",1973,"Massachusetts",1.75,10.19,1.6,9.32,1.75,10.19,44.4,"1.75",1.75,10.19,1.75,10.19,4.4,149,85,16.3
"22",1973,"Michigan",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,12.1,255,74,35.1
"23",1973,"Minnesota",0.75,4.37,1.6,9.32,1.6,9.32,44.4,".75 - 1.60",0.75,4.37,1.6,9.32,2.7,72,66,14.9
"24",1973,"Mississippi",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,16.1,259,44,17.1
"25",1973,"Missouri",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,9,178,70,28.2
"26",1973,"Montana",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,6,109,53,16.4
"27",1973,"Nebraska",1,5.83,1.6,9.32,1.6,9.32,44.4,"1",1,5.83,1,5.83,4.3,102,62,16.5
"28",1973,"Nevada",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,12.2,252,81,46
"29",1973,"New Hampshire",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,2.1,57,56,9.5
"30",1973,"New Jersey",1.5,8.74,1.6,9.32,1.6,9.32,44.4,"1.5",1.5,8.74,1.5,8.74,7.4,159,89,18.8
"31",1973,"New Mexico",1.3,7.57,1.6,9.32,1.6,9.32,44.4,"1.30 - 1.60",1.3,7.57,1.6,9.32,11.4,285,70,32.1
"32",1973,"New York",1.85,10.78,1.6,9.32,1.85,10.78,44.4,"1.85",1.85,10.78,1.85,10.78,11.1,254,86,26.1
"33",1973,"North Carolina",1.45,8.45,1.6,9.32,1.6,9.32,44.4,"1.45",1.45,8.45,1.45,8.45,13,337,45,16.1
"34",1973,"North Dakota",1,5.83,1.6,9.32,1.6,9.32,44.4,"1.00 - 1.45",1,5.83,1.45,8.45,0.8,45,44,7.3
"35",1973,"Ohio",0.75,4.37,1.6,9.32,1.6,9.32,44.4,".75 - 1.25(b)",0.75,4.37,1.25,7.28,7.3,120,75,21.4
"36",1973,"Oklahoma",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,6.6,151,68,20
"37",1973,"Oregon",1.25,7.28,1.6,9.32,1.6,9.32,44.4,"1.25`",1.25,7.28,1.25,7.28,4.9,159,67,29.3
"38",1973,"Pennsylvania",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,6.3,106,72,14.9
"39",1973,"Rhode Island",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,3.4,174,87,8.3
"40",1973,"South Carolina",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,14.4,279,48,22.5
"41",1973,"South Dakota",1,5.83,1.6,9.32,1.6,9.32,44.4,"1",1,5.83,1,5.83,3.8,86,45,12.8
"42",1973,"Tennessee",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,13.2,188,59,26.9
"43",1973,"Texas",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,12.7,201,80,25.5
"44",1973,"Utah",1.2,6.99,1.6,9.32,1.6,9.32,44.4,"1.20 - 1.35(b)",1.2,6.99,1.35,7.86,3.2,120,80,22.9
"45",1973,"Vermont",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,2.2,48,32,11.2
"46",1973,"Virginia",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,8.5,156,63,20.7
"47",1973,"Washington",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,4,145,73,26.2
"48",1973,"West Virginia",1.2,6.99,1.6,9.32,1.6,9.32,44.4,"1.2",1.2,6.99,1.2,6.99,5.7,81,39,9.3
"49",1973,"Wisconsin",1.45,8.45,1.6,9.32,1.6,9.32,44.4,"1.45 (b)",1.45,8.45,1.45,8.45,2.6,53,66,10.8
"50",1973,"Wyoming",1.5,8.74,1.6,9.32,1.6,9.32,44.4,"1.5",1.5,8.74,1.5,8.74,6.8,161,60,15.6
